,0
détachait,VERB
libre,ADJ
y,PRON
appliquer,VERB
ou,CCONJ
non,ADV
aussitôt,ADV
recouvrais,VERB
vue,VERB
bien,ADV
étonné,ADJ
trouver,VERB
autour,ADV
obscurité,NOUN
douce,ADJ
reposante,ADJ
pour,ADP
peut-être,ADV
esprit,NOUN
qui,PRON
apparaissait,VERB
chose,NOUN
sans,ADP
cause,NOUN
incompréhensible,ADJ
vraiment,ADV
obscure,ADJ
demandais,VERB
quelle,DET
pouvait,VERB
être,AUX
entendais,VERB
sifflement,NOUN
trains,NOUN
moins,ADV
éloigné,ADJ
chant,NOUN
oiseau,NOUN
forêt,NOUN
relevant,VERB
distances,NOUN
décrivait,VERB
étendue,NOUN
campagne,NOUN
déserte,ADJ
où,PRON
voyageur,NOUN
hâte,NOUN
vers,ADP
station,NOUN
prochaine,ADJ
petit,ADJ
chemin,NOUN
suit,VERB
va,VERB
gravé,VERB
son,DET
souvenir,NOUN
par,ADP
excitation,NOUN
doit,VERB
lieux,NOUN
nouveaux,ADJ
actes,NOUN
inaccoutumés,ADJ
causerie,NOUN
récente,ADJ
aux,ADP
adieux,NOUN
sous,ADP
lampe,NOUN
étrangère,ADJ
suivent,VERB
silence,NOUN
nuit,NOUN
douceur,NOUN
retour,NOUN
J’,PRON
appuyais,VERB
tendrement,ADV
joues,NOUN
contre,ADP
belles,ADJ
oreiller,NOUN
pleines,ADJ
fraîches,ADJ
sont,AUX
notre,DET
enfance,NOUN
frottais,VERB
allumette,NOUN
regarder,VERB
montre,NOUN
Bientôt,ADV
minuit,NOUN
C’,PRON
est,AUX
instant,NOUN
malade,ADJ
a,VERB
été,VERB
obligé,ADJ
partir,VERB
voyage,NOUN
dû,VERB
coucher,VERB
hôtel,NOUN
inconnu,ADJ
réveillé,VERB
crise,NOUN
réjouit,VERB
apercevant,VERB
porte,NOUN
raie,NOUN
jour,NOUN
Quel,DET
bonheur,NOUN
c’,PRON
déjà,ADV
matin,NOUN
!,PUNCT
Dans,ADP
moment,NOUN
domestiques,NOUN
seront,AUX
levés,VERB
pourra,VERB
sonner,VERB
on,PRON
viendra,VERB
lui,PRON
porter,VERB
secours,NOUN
L’,DET
espérance,NOUN
soulagé,VERB
donne,VERB
courage,NOUN
souffrir,VERB
Justement,ADV
cru,VERB
entendre,VERB
rapprochent,VERB
puis,CCONJ
s’,PRON
éloignent,VERB
sa,DET
disparu,VERB
vient,VERB
éteindre,VERB
gaz,NOUN
dernier,ADJ
domestique,NOUN
parti,VERB
faudra,VERB
rester,VERB
toute,ADJ
remède,NOUN
rendormais,VERB
parfois,ADV
courts,ADJ
réveils,NOUN
craquements,NOUN
organiques,ADJ
boiseries,NOUN
ouvrir,VERB
fixer,VERB
kaléidoscope,NOUN
goûter,NOUN
grâce,NOUN
lueur,NOUN
momentanée,ADJ
conscience,NOUN
étaient,AUX
plongés,VERB
meubles,NOUN
chambre,NOUN
tout,ADV
petite,ADJ
partie,NOUN
insensibilité,NOUN
duquel,PRON
retournais,VERB
unir,VERB
Ou,CCONJ
rejoint,VERB
effort,NOUN
âge,NOUN
jamais,ADV
révolu,VERB
vie,NOUN
primitive,ADJ
retrouvé,VERB
telle,ADJ
terreurs,NOUN
enfantines,ADJ
celle,PRON
grand-oncle,NOUN
tirât,VERB
boucles,NOUN
avait,AUX
dissipée,VERB
"jour,--date",NOUN
ère,NOUN
"nouvelle,--où",PUNCT
coupées,VERB
oublié,VERB
cet,DET
événement,NOUN
retrouvais,VERB
réussi,VERB
éveiller,VERB
échapper,VERB
mesure,NOUN
précaution,NOUN
entourais,VERB
complètement,ADV
tête,NOUN
avant,ADJ
retourner,VERB
monde,NOUN
rêves,NOUN
Quelquefois,ADV
Ève,SCONJ
naquit,VERB
côte,NOUN
Adam,PROPN
femme,NOUN
naissait,VERB
fausse,ADJ
position,NOUN
cuisse,NOUN
Formée,VERB
plaisir,NOUN
point,NOUN
imaginais,VERB
offrait,VERB
Mon,DET
corps,NOUN
sentait,VERB
sien,PRON
propre,ADJ
chaleur,NOUN
voulait,VERB
rejoindre,VERB
éveillais,VERB
Le,DET
reste,VERB
humains,ADJ
lointain,NOUN
auprès,ADV
cette,DET
quittée,VERB
moments,NOUN
joue,NOUN
chaude,ADJ
baiser,NOUN
courbaturé,VERB
poids,NOUN
taille,NOUN
Si,SCONJ
arrivait,VERB
quelquefois,ADV
traits,NOUN
connue,VERB
allais,VERB
donner,VERB
entier,ADJ
but,NOUN
retrouver,VERB
ceux,PRON
partent,VERB
voir,VERB
leurs,DET
cité,NOUN
désirée,VERB
imaginent,VERB
peut,VERB
réalité,NOUN
charme,NOUN
songe,NOUN
Peu,ADV
évanouissait,VERB
fille,NOUN
rêve,NOUN
Un,PRON
homme,NOUN
dort,VERB
tient,VERB
cercle,NOUN
fil,NOUN
heures,NOUN
ordre,NOUN
années,NOUN
mondes,NOUN
Il,PRON
consulte,VERB
instinct,NOUN
éveillant,VERB
lit,NOUN
seconde,NOUN
terre,NOUN
occupe,VERB
écoulé,VERB
jusqu’,ADP
rangs,NOUN
peuvent,VERB
mêler,VERB
rompre,VERB
Que,PRON
quelque,DET
insomnie,NOUN
prenne,VERB
train,NOUN
posture,NOUN
trop,ADV
différente,ADJ
habituellement,ADV
suffit,VERB
bras,NOUN
soulevé,VERB
arrêter,VERB
reculer,VERB
soleil,NOUN
première,ADJ
minute,NOUN
saura,VERB
estimera,VERB
assoupit,VERB
déplacée,VERB
divergente,ADJ
exemple,NOUN
dîner,NOUN
assis,VERB
fauteuil,NOUN
alors,ADV
bouleversement,NOUN
sera,AUX
complet,ADJ
désorbités,NOUN
magique,ADJ
fera,AUX
voyager,VERB
vitesse,NOUN
espace,NOUN
au,ADP
paupières,NOUN
croira,VERB
mois,NOUN
tôt,ADV
autre,ADJ
contrée,NOUN
Mais,CCONJ
suffisait,VERB
fût,AUX
profond,ADJ
détendît,VERB
entièrement,ADV
celui-ci,PRON
lâchait,VERB
plan,NOUN
lieu,NOUN
endormi,VERB
quand,SCONJ
milieu,NOUN
ignorais,VERB
trouvais,VERB
savais,VERB
premier,ADJ
seulement,ADV
simplicité,NOUN
sentiment,NOUN
frémir,VERB
fond,NOUN
animal,NOUN
dénué,ADJ
cavernes,NOUN
--,PROPN
quelques-uns,PRON
habités,VERB
aurais,AUX
pu,VERB
venait,VERB
haut,ADJ
tirer,VERB
néant,NOUN
sortir,VERB
seul,ADJ
passais,VERB
dessus,ADV
siècles,NOUN
civilisation,NOUN
image,NOUN
confusément,ADV
entrevue,NOUN
lampes,NOUN
pétrole,NOUN
chemises,NOUN
col,NOUN
rabattu,VERB
recomposaient,VERB
originaux,ADJ
Peut,ADV
immobilité,NOUN
choses,NOUN
nous,PRON
leur,PRON
est-elle,PRON
imposée,VERB
certitude,NOUN
elles,PRON
autres,ADJ
face,NOUN
Toujours,ADV
-il,PRON
réveillais,VERB
ainsi,ADV
agitant,VERB
réussir,VERB
savoir,VERB
tournait,VERB
pays,NOUN
engourdi,VERB
remuer,VERB
cherchait,VERB
forme,NOUN
fatigue,NOUN
repérer,VERB
ses,DET
membres,NOUN
induire,VERB
direction,NOUN
mur,NOUN
place,NOUN
reconstruire,VERB
nommer,VERB
demeure,NOUN
trouvait,VERB
Sa,DET
mémoire,NOUN
côtes,NOUN
genoux,NOUN
épaules,NOUN
présentait,VERB
successivement,ADV
plusieurs,DET
chambres,NOUN
dormi,VERB
tandis,ADV
murs,NOUN
invisibles,ADJ
changeant,VERB
selon,ADP
pièce,NOUN
imaginée,VERB
tourbillonnaient,VERB
ténèbres,NOUN
hésitait,VERB
seuil,NOUN
formes,NOUN
eût,AUX
identifié,VERB
logis,NOUN
rapprochant,VERB
circonstances,NOUN
"lui,--mon",PUNCT
"corps,--se",PRON
rappelait,VERB
chacun,PRON
genre,NOUN
portes,NOUN
prise,VERB
fenêtres,NOUN
couloir,NOUN
avec,ADP
endormant,VERB
côté,NOUN
ankylosé,ADJ
cherchant,VERB
deviner,VERB
orientation,NOUN
imaginait,VERB
allongé,VERB
grand,ADJ
baldaquin,NOUN
disais,VERB
Tiens,VERB
ai,AUX
fini,VERB
endormir,VERB
quoique,ADV
maman,NOUN
soit,CCONJ
venue,VERB
bonsoir,NOUN
chez,ADP
grand-père,NOUN
mort,NOUN
depuis,ADP
lequel,PRON
reposais,VERB
gardiens,NOUN
fidèles,NOUN
passé,NOUN
aurait,AUX
oublier,VERB
rappelaient,VERB
flamme,NOUN
veilleuse,NOUN
verre,NOUN
Bohême,PROPN
urne,NOUN
suspendue,VERB
plafond,NOUN
chaînettes,NOUN
cheminée,NOUN
marbre,NOUN
Sienne,PROPN
Combray,PROPN
grands,ADJ
parents,NOUN
jours,NOUN
lointains,NOUN
figurais,VERB
actuels,ADJ
représenter,VERB
exactement,ADV
reverrais,VERB
mieux,ADV
serais,AUX
fait,VERB
éveillé,VERB
renaissait,VERB
nouvelle,ADJ
attitude,NOUN
filait,VERB
Mme,NOUN
Saint-Loup,PROPN
Dieu,NOUN
dix,NUM
aurai,VERB
prolongé,VERB
sieste,NOUN
fais,VERB
tous,ADJ
soirs,NOUN
rentrant,VERB
promenade,NOUN
endosser,VERB
habit,NOUN
Car,CCONJ
ont,VERB
nos,DET
retours,NOUN
tardifs,ADJ
reflets,NOUN
rouges,ADJ
couchant,ADJ
voyais,VERB
vitrage,NOUN
fenêtre,NOUN
mène,VERB
Tansonville,PROPN
trouve,VERB
suivre,VERB
clair,NOUN
lune,NOUN
chemins,NOUN
jouais,VERB
jadis,ADV
serai,AUX
habiller,VERB
loin,ADV
aperçois,VERB
rentrons,VERB
traversée,NOUN
feux,NOUN
phare,NOUN
Ces,DET
évocations,NOUN
tournoyantes,ADJ
confuses,ADJ
duraient,VERB
souvent,ADV
brève,ADJ
incertitude,NOUN
distinguait,VERB
unes,PRON
diverses,ADJ
suppositions,NOUN
faite,VERB
isolons,VERB
voyant,VERB
cheval,NOUN
courir,VERB
positions,NOUN
successives,ADJ
kinétoscope,NOUN
revu,VERB
tantôt,CCONJ
habitées,VERB
finissais,VERB
rappeler,VERB
toutes,ADJ
longues,ADJ
rêveries,NOUN
suivaient,VERB
hiver,NOUN
blottit,VERB
nid,NOUN
tresse,VERB
disparates,ADJ
coin,NOUN
couvertures,NOUN
bout,NOUN
châle,NOUN
bord,NOUN
numéro,NOUN
Débats,NOUN
roses,NOUN
finit,VERB
cimenter,VERB
ensemble,ADV
technique,NOUN
oiseaux,NOUN
appuyant,VERB
indéfiniment,ADV
glacial,ADJ
goûte,VERB
sentir,VERB
séparé,VERB
dehors,ADP
(,PUNCT
hirondelle,NOUN
mer,NOUN
souterrain,NOUN
),PUNCT
feu,NOUN
étant,AUX
entretenu,VERB
manteau,NOUN
air,NOUN
chaud,ADJ
fumeux,ADJ
traversé,VERB
lueurs,NOUN
tisons,NOUN
rallument,VERB
sorte,NOUN
impalpable,ADJ
alcôve,NOUN
caverne,NOUN
creusée,VERB
sein,NOUN
zone,NOUN
ardente,ADJ
mobile,ADJ
contours,NOUN
thermiques,ADJ
aérée,VERB
souffles,NOUN
rafraîchissent,VERB
figure,NOUN
viennent,VERB
angles,NOUN
parties,NOUN
voisines,ADJ
éloignées,ADJ
foyer,NOUN
refroidies;--chambres,NOUN
aime,VERB
uni,VERB
tiède,ADJ
appuyé,VERB
volets,NOUN
entr’ouverts,ADJ
jette,VERB
pied,NOUN
échelle,NOUN
enchantée,VERB
presque,ADV
plein,ADJ
mésange,NOUN
balancée,VERB
brise,NOUN
pointe,NOUN
rayon--,NOUN
Louis,PROPN
XVI,NUM
gaie,ADJ
soir,NOUN
malheureux,ADJ
colonnettes,NOUN
soutenaient,VERB
légèrement,ADV
écartaient,VERB
tant,ADV
montrer,VERB
réserver,VERB
contraire,NOUN
élevée,ADJ
pyramide,NOUN
hauteur,NOUN
deux,NUM
étages,NOUN
partiellement,ADV
revêtue,VERB
acajou,NOUN
dès,ADP
intoxiqué,VERB
moralement,ADV
odeur,NOUN
inconnue,ADJ
vétiver,NOUN
convaincu,VERB
hostilité,NOUN
rideaux,NOUN
violets,NOUN
insolente,ADJ
indifférence,NOUN
pendule,NOUN
jacassait,VERB
eusse,AUX
là;--où,ADV
étrange,ADJ
impitoyable,ADJ
glace,NOUN
pieds,NOUN
quadrangulaires,ADJ
barrant,VERB
obliquement,ADV
creusait,VERB
vif,ADJ
plénitude,NOUN
champ,NOUN
visuel,ADJ
accoutumé,VERB
emplacement,NOUN
prévu;--où,PUNCT
efforçant,VERB
disloquer,VERB
étirer,VERB
prendre,VERB
arriver,VERB
remplir,VERB
gigantesque,ADJ
entonnoir,NOUN
souffert,VERB
dures,ADJ
nuits,NOUN
étendu,ADJ
oreille,NOUN
anxieuse,ADJ
narine,NOUN
rétive,ADJ
cœur,NOUN
battant,VERB
habitude,NOUN
changé,VERB
couleur,NOUN
taire,VERB
enseigné,VERB
pitié,NOUN
oblique,ADJ
cruelle,ADJ
dissimulé,VERB
sinon,ADV
chassé,VERB
notablement,ADV
diminué,VERB
apparente,ADJ
aménageuse,NOUN
habile,ADJ
lente,ADJ
commence,VERB
laisser,AUX
semaines,NOUN
installation,NOUN
provisoire,ADJ
malgré,ADP
heureux,ADJ
car,CCONJ
réduit,ADJ
seuls,ADJ
moyens,NOUN
serait,AUX
impuissant,ADJ
habitable,ADJ
Certes,ADV
maintenant,ADV
viré,VERB
dernière,ADJ
fois,NOUN
bon,ADJ
ange,NOUN
arrêté,VERB
mis,VERB
approximativement,ADV
commode,ADJ
bureau,NOUN
rue,NOUN
beau,ADJ
demeures,NOUN
ignorance,NOUN
présenté,VERB
distincte,ADJ
croire,VERB
présence,NOUN
possible,ADJ
branle,PROPN
donné,VERB
généralement,ADV
cherchais,VERB
rendormir,VERB
suite,NOUN
grande,ADJ
autrefois,ADV
grand’tante,NOUN
Balbec,PROPN
Paris,PROPN
Doncières,PROPN
Venise,PROPN
ailleurs,ADV
personnes,NOUN
connues,VERB
vu,VERB
raconté,VERB
A,ADP
fin,NOUN
après-midi,NOUN
longtemps,ADV
faudrait,VERB
mettre,VERB
dormir,VERB
mère,NOUN
grand’mère,NOUN
redevenait,VERB
fixe,ADJ
douloureux,ADJ
préoccupations,NOUN
On,PRON
inventé,VERB
distraire,VERB
lanterne,NOUN
attendant,VERB
coiffait,VERB
instar,NOUN
premiers,ADJ
architectes,NOUN
maîtres,NOUN
verriers,ADJ
gothique,NOUN
substituait,VERB
opacité,NOUN
impalpables,ADJ
irisations,NOUN
surnaturelles,ADJ
apparitions,NOUN
multicolores,ADJ
légendes,NOUN
dépeintes,VERB
vitrail,NOUN
vacillant,ADJ
momentané,ADJ
tristesse,NOUN
accrue,VERB
parce,SCONJ
rien,PRON
changement,NOUN
éclairage,NOUN
détruisait,VERB
quoi,PRON
sauf,ADP
supplice,NOUN
devenue,VERB
supportable,ADJ
Maintenant,ADV
reconnaissais,VERB
inquiet,ADJ
chalet,NOUN
fusse,VERB
arrivé,VERB
descendant,NOUN
fer,NOUN
Au,ADP
saccadé,ADJ
Golo,PROPN
affreux,ADJ
dessein,NOUN
sortait,VERB
triangulaire,ADJ
veloutait,VERB
vert,ADJ
sombre,ADJ
pente,NOUN
colline,NOUN
avançait,VERB
tressautant,VERB
château,NOUN
pauvre,ADJ
Geneviève,PROPN
Brabant,PROPN
Ce,DET
coupé,VERB
ligne,NOUN
courbe,NOUN
limite,NOUN
ovales,NOUN
ménagés,VERB
châssis,NOUN
glissait,VERB
entre,ADP
coulisses,NOUN
pan,NOUN
devant,ADP
lande,NOUN
rêvait,VERB
portait,VERB
ceinture,NOUN
bleue,ADJ
jaunes,ADJ
attendu,VERB
connaître,VERB
verres,NOUN
sonorité,NOUN
mordorée,ADJ
nom,NOUN
montrée,VERB
évidence,NOUN
arrêtait,VERB
écouter,VERB
boniment,NOUN
lu,VERB
haute,ADJ
voix,NOUN
comprendre,VERB
parfaitement,ADV
conformant,VERB
docilité,NOUN
excluait,VERB
certaine,ADJ
majesté,NOUN
indications,NOUN
texte,NOUN
éloignait,VERB
chevauchée,NOUN
bougeait,VERB
distinguais,VERB
continuait,VERB
avancer,VERB
bombant,VERB
plis,NOUN
fentes,NOUN
lui-même,PRON
essence,NOUN
aussi,ADV
surnaturelle,ADJ
celui,PRON
monture,NOUN
arrangeait,VERB
obstacle,NOUN
matériel,ADJ
objet,NOUN
gênant,ADJ
rencontrait,VERB
prenant,VERB
ossature,NOUN
rendant,VERB
intérieur,NOUN
-ce,PRON
bouton,NOUN
adaptait,VERB
surnageait,VERB
invinciblement,ADV
robe,NOUN
rouge,ADJ
pâle,ADJ
toujours,ADV
noble,ADJ
mélancolique,ADJ
laissait,VERB
paraître,VERB
aucun,DET
trouble,NOUN
transvertébration,NOUN
brillantes,ADJ
projections,NOUN
semblaient,VERB
émaner,VERB
mérovingien,ADJ
promenaient,VERB
histoire,NOUN
anciens,ADJ
peux,VERB
quel,DET
malaise,NOUN
causait,VERB
pourtant,ADV
intrusion,NOUN
mystère,NOUN
beauté,NOUN
attention,NOUN
influence,NOUN
anesthésiante,ADJ
ayant,AUX
mettais,VERB
penser,VERB
tristes,ADJ
différait,VERB
boutons,NOUN
ceci,PRON
besoin,NOUN
tourner,VERB
maniement,NOUN
devenu,VERB
inconscient,ADJ
voilà,VERB
servait,VERB
astral,ADJ
sonnait,VERB
salle,NOUN
manger,VERB
grosse,ADJ
suspension,NOUN
ignorante,ADJ
Barbe,PROPN
Bleue,PROPN
connaissait,VERB
bœuf,NOUN
casserole,NOUN
donnait,VERB
tomber,VERB
malheurs,NOUN
rendaient,VERB
chère,ADJ
crimes,NOUN
faisaient,AUX
examiner,VERB
scrupules,NOUN
Après,ADP
hélas,INTJ
bientôt,ADV
quitter,VERB
restait,VERB
causer,VERB
jardin,NOUN
faisait,VERB
salon,NOUN
retirait,VERB
mauvais,ADJ
Tout,ADV
enfermé,VERB
incessantes,ADJ
discussions,NOUN
père,NOUN
pluie,NOUN
envoyait,VERB
cela,PRON
vous,PRON
rendrez,VERB
robuste,ADJ
énergique,ADJ
disait,VERB
-elle,PRON
tristement,ADV
surtout,ADV
forces,NOUN
volonté,NOUN
haussait,VERB
examinait,VERB
baromètre,NOUN
aimait,VERB
météorologie,NOUN
évitant,VERB
bruit,NOUN
troubler,VERB
regardait,VERB
respect,NOUN
attendri,VERB
fixement,ADV
percer,VERB
supériorités,NOUN
rage,NOUN
Françoise,PROPN
précipitamment,ADV
rentré,VERB
précieux,ADJ
fauteuils,NOUN
osier,NOUN
peur,NOUN
ils,PRON
fussent,AUX
mouillés,VERB
voyait,VERB
vide,NOUN
fouetté,VERB
averse,NOUN
mèches,NOUN
désordonnées,ADJ
grises,ADJ
front,NOUN
imbibât,VERB
salubrité,NOUN
vent,NOUN
Elle,PRON
Enfin,ADV
respire,VERB
parcourait,VERB
allées,NOUN
"détrempées,--trop",ADJ
symétriquement,ADV
alignées,VERB
gré,NOUN
nouveau,ADJ
jardinier,NOUN
dépourvu,NOUN
nature,NOUN
auquel,PRON
demandé,VERB
"arrangerait,--de",ADV
enthousiaste,ADJ
réglé,VERB
mouvements,NOUN
divers,ADJ
excitaient,VERB
âme,NOUN
ivresse,NOUN
orage,NOUN
puissance,NOUN
hygiène,NOUN
stupidité,NOUN
éducation,NOUN
symétrie,NOUN
jardins,NOUN
plutôt,ADV
désir,NOUN
éviter,VERB
jupe,NOUN
prune,NOUN
taches,NOUN
boue,NOUN
lesquelles,PRON
disparaissait,VERB
désespoir,NOUN
problème,NOUN
Quand,SCONJ
tours,NOUN
pouvoir,VERB
rentrer,VERB
révolution,NOUN
ramenait,VERB
périodiquement,ADV
insecte,NOUN
lumières,NOUN
liqueurs,NOUN
servies,VERB
table,NOUN
"jeu,--si",PUNCT
criait,VERB
Bathilde,PROPN
viens,VERB
donc,ADV
empêcher,VERB
ton,DET
mari,NOUN
boire,VERB
cognac,NOUN
Pour,ADP
taquiner,VERB
effet,NOUN
apporté,VERB
famille,NOUN
différent,ADJ
plaisantait,VERB
tourmentait,VERB
défendues,VERB
gouttes,NOUN
Ma,DET
entrait,VERB
priait,VERB
ardemment,ADV
fâchait,VERB
buvait,VERB
gorgée,NOUN
repartait,VERB
triste,ADJ
découragée,VERB
souriante,ADJ
humble,ADJ
tendresse,NOUN
cas,NOUN
personne,NOUN
souffrances,NOUN
conciliaient,VERB
regard,NOUN
sourire,VERB
contrairement,ADV
voit,VERB
visage,NOUN
beaucoup,ADV
ironie,NOUN
elle-même,PRON
pouvaient,VERB
chérissait,VERB
caresser,VERB
passionnément,ADV
infligeait,VERB
spectacle,NOUN
vaines,ADJ
prières,NOUN
faiblesse,NOUN
vaincue,VERB
avance,NOUN
essayant,VERB
inutilement,ADV
ôter,VERB
liqueur,NOUN
desquelles,PRON
habitue,VERB
tard,ADV
considérer,VERB
riant,VERB
persécuteur,NOUN
assez,ADV
résolument,ADV
gaiement,ADV
persuader,VERB
soi,PRON
agit,VERB
persécution,NOUN
causaient,VERB
horreur,NOUN
aimé,VERB
battre,VERB
lâcheté,NOUN
faisais,VERB
faisons,VERB
sommes,AUX
injustices,NOUN
montais,VERB
sangloter,VERB
maison,NOUN
études,NOUN
toits,NOUN
sentant,VERB
iris,NOUN
parfumait,VERB
cassis,NOUN
sauvage,ADJ
poussé,VERB
pierres,NOUN
muraille,NOUN
passait,VERB
branche,NOUN
fleurs,NOUN
entr’ouverte,ADJ
Destinée,VERB
usage,NOUN
spécial,ADJ
vulgaire,ADJ
donjon,NOUN
Roussainville-le-Pin,PROPN
servit,VERB
refuge,NOUN
doute,NOUN
seule,ADJ
permis,VERB
fermer,VERB
clef,NOUN
celles,PRON
occupations,NOUN
réclamaient,VERB
inviolable,ADJ
solitude,NOUN
lecture,NOUN
rêverie,NOUN
larmes,NOUN
volupté,NOUN
Hélas,INTJ
petits,ADJ
écarts,NOUN
régime,NOUN
manque,NOUN
santé,NOUN
délicate,ADJ
projetaient,VERB
avenir,NOUN
préoccupaient,VERB
cours,NOUN
déambulations,NOUN
passer,VERB
repasser,VERB
levé,VERB
ciel,NOUN
brunes,ADJ
sillonnées,VERB
devenues,VERB
mauves,ADJ
labours,NOUN
automne,NOUN
barrées,VERB
voilette,NOUN
demi,ADV
relevée,VERB
amené,VERB
là,ADV
froid,ADJ
sécher,VERB
pleur,NOUN
involontaire,ADJ
consolation,NOUN
viendrait,VERB
embrasser,VERB
durait,VERB
redescendait,VERB
monter,VERB
double,ADJ
léger,ADJ
mousseline,NOUN
laquelle,PRON
pendaient,VERB
cordons,NOUN
paille,NOUN
tressée,VERB
annonçait,VERB
allait,VERB
quitté,VERB
redescendue,VERB
De,ADP
aimais,VERB
arrivais,VERB
souhaiter,VERB
vînt,VERB
prolongeât,VERB
répit,NOUN
embrassé,VERB
ouvrait,VERB
embrasse,VERB
-moi,PRON
fâché,VERB
concession,NOUN
agitation,NOUN
montant,VERB
apportant,VERB
paix,NOUN
agaçait,VERB
rites,NOUN
absurdes,ADJ
voulu,VERB
tâcher,VERB
perdre,VERB
demander,VERB
Or,CCONJ
fâchée,VERB
calme,ADJ
penché,VERB
aimante,ADJ
tendue,VERB
hostie,NOUN
communion,NOUN
lèvres,NOUN
puiseraient,VERB
réelle,ADJ
-là,NOUN
somme,NOUN
doux,ADJ
comparaison,NOUN
montait,VERB
bornait,VERB
M.,NOUN
étrangers,ADJ
passage,NOUN
près,ADV
voisin,ADJ
rarement,ADV
mariage,NOUN
voulaient,VERB
recevoir,VERB
improviste,NOUN
Les,DET
marronnier,NOUN
entendions,VERB
grelot,NOUN
profus,ADJ
criard,ADJ
arrosait,VERB
étourdissait,VERB
ferrugineux,ADJ
intarissable,ADJ
glacé,ADJ
déclenchait,VERB
entrant,VERB
tintement,NOUN
timide,ADJ
ovale,NOUN
doré,ADJ
clochette,NOUN
demandait,VERB
Une,DET
visite,NOUN
?,PUNCT
savait,VERB
parlant,VERB
prêcher,VERB
efforçait,VERB
naturel,ADJ
chuchoter,VERB
désobligeant,ADJ
arrive,VERB
éclaireur,NOUN
heureuse,ADJ
prétexte,NOUN
profitait,VERB
arracher,VERB
subrepticement,ADV
tuteurs,NOUN
rosiers,NOUN
afin,ADV
bouffer,VERB
passe,VERB
main,NOUN
cheveux,NOUN
fils,NOUN
coiffeur,NOUN
aplatis,ADJ
Nous,PRON
restions,VERB
suspendus,VERB
nouvelles,ADJ
apporter,VERB
ennemi,NOUN
hésiter,VERB
nombre,NOUN
assaillants,NOUN
reconnais,VERB
reconnaissait,VERB
mal,NOUN
nez,NOUN
busqué,VERB
verts,ADJ
entouré,VERB
blonds,ADJ
roux,ADJ
coiffés,VERB
Bressant,VERB
gardions,VERB
attirer,VERB
moustiques,NOUN
apportât,VERB
sirops,NOUN
attachait,VERB
importance,NOUN
trouvant,VERB
aimable,ADJ
eussent,AUX
figurer,VERB
façon,NOUN
exceptionnelle,ADJ
visites,NOUN
jeune,ADJ
très,ADV
lié,VERB
meilleurs,ADJ
amis,NOUN
excellent,ADJ
singulier,ADJ
paraît,VERB
interrompre,VERB
élans,NOUN
changer,VERB
an,NOUN
raconter,VERB
anecdotes,NOUN
mêmes,ADJ
eue,VERB
veillée,VERB
accouru,VERB
propriété,NOUN
possédaient,VERB
environs,NOUN
